
EVIDENCE02_BATTLECITY_LEVELNAME_DEFAULT=	STAGE #ID


EVIDENCE02_BATTLECITY_LABEL_HISCORE=	HI-SCORE
EVIDENCE02_BATTLECITY_LABEL_PLAYER=		I-PLAYER
EVIDENCE02_BATTLECITY_LABEL_POINTS=		PTS
EVIDENCE02_BATTLECITY_LABEL_TOTAL=		TOTAL





EVIDENCE02_BATTLECITY_ITEMNAME_STAR=		Star
EVIDENCE02_BATTLECITY_ITEMNAME_GRENADE=		Grenade
EVIDENCE02_BATTLECITY_ITEMNAME_EXTRALIFE=	Extra Life!
EVIDENCE02_BATTLECITY_ITEMNAME_SHIELD=		Helmet
EVIDENCE02_BATTLECITY_ITEMNAME_SHOVEL=		Shovel
EVIDENCE02_BATTLECITY_ITEMNAME_TIMESTOP=	Time Stop

EVIDENCE02_BATTLECITY_ITEMNAME_EMI=					EMI
EVIDENCE02_BATTLECITY_ITEMNAME_DUALITY=				Duality
EVIDENCE02_BATTLECITY_ITEMNAME_HOMINGBULLETS=		Homing bullets	
EVIDENCE02_BATTLECITY_ITEMNAME_UNLIMITEDSHOOTING=	Unlimited Shooting
EVIDENCE02_BATTLECITY_ITEMNAME_MOVETHROUGHWATER=	Move through water

EVIDENCE02_BATTLECITY_ITEMNAME_DIRTBALL=			Dirt Ball
EVIDENCE02_BATTLECITY_ITEMNAME_DEMOLITIONBOMB=		Demolition Bomb
EVIDENCE02_BATTLECITY_ITEMNAME_MINE=				Mine
